section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,1,1,861,2815.700128190176,3958.666294059263,10373.54712614733,3.270267280127963,4.597754116212848,12.048254501913275,-0.4059260978915895,-2.684180365050112,-1.6204651656834086
BUCKET,1,2,616,1017.6365556916237,1250.1280513259444,4824.915825743194,1.6520073956032852,2.0294286547499096,7.832655561271419,-0.22846220915905557,-3.7412957000783065,-2.859537285501003
BUCKET,1,3,455,500.7530186295071,678.7002745366427,4049.6351023309394,1.1005560849000156,1.4916489550255885,8.900296928199866,-0.3553593274268283,-7.087090744683357,-4.966750352496434
BUCKET,1,4,694,572.4325355917019,744.3067860068008,5001.238092412921,0.8248307429275245,1.072488164274929,7.206394945839944,-0.3002524135659741,-7.736816622841554,-5.719323518793263
BUCKET,1,5,274,141.24060936604957,267.6949771623425,2207.8419173247294,0.5154766765184291,0.9769889677457756,8.05781721651361,-0.8953116838271669,-14.631778475287682,-7.2476030769370485
BUCKET,1,6,289,145.09362764640233,367.5916895173425,2528.7398047171164,0.5020540749010461,1.2719435623437456,8.749964722204554,-1.5334792125618009,-16.428331248838397,-5.879208308646525
BUCKET,2,1,2898,35854.307708626024,37170.132698520356,117089.02664634236,12.372086855978614,12.826132746211304,40.403390837247194,-0.03669921618868033,-2.265689233156563,-2.1500836329003303
BUCKET,2,2,1901,12766.396705411236,11653.348117271313,54967.51437607077,6.715621623046416,6.130114738175336,28.915052275681628,0.08718580613025606,-3.3056404751053936,-3.716885981858206
BUCKET,2,3,1491,6934.983165684911,6996.389810767993,49069.06820235081,4.651229487380893,4.692414360005361,32.91017317394421,-0.008854620640887712,-6.075585770005927,-6.013484029553308
BUCKET,2,4,3024,12332.877551251713,13225.976674262585,97250.70592062516,4.078332523562074,4.373669535139744,32.159624973751704,-0.07241611856595687,-6.885483782392277,-6.353007518142125
BUCKET,2,5,736,2358.6364469273576,2617.604562594086,28544.8818338928,3.2046690854991273,3.556527938307182,38.78380683952826,-0.10979568979530163,-11.102281329146246,-9.904963355352798
BUCKET,2,6,766,2510.7286401452498,2969.264177590356,31292.18171554841,3.277713629432441,3.8763239916323187,40.851412161290355,-0.18263046436534824,-11.463386610246381,-9.538699099836553
BUCKET,3,1,2251,47131.3807725816,41046.77640823485,117635.1319933094,20.937974576890984,18.23490733373383,52.25905463940889,0.12909879287658022,-1.4958982755231083,-1.8658799127940608
BUCKET,3,2,1352,16909.779208611726,16576.159842309018,58357.2295159931,12.507233142464294,12.260473256145723,43.16363129881147,0.0197293744753807,-2.4510935238156883,-2.5205518088117134
BUCKET,3,3,1217,10881.37781267536,14345.363549195932,58802.56944307107,8.941148572453049,11.787480319799451,48.31764128436407,-0.3183407281829227,-4.403963583965799,-3.099064428824949
BUCKET,3,4,2763,21865.460701943433,28861.085026551336,145830.03996732904,7.9136665587924115,10.44556099404681,52.779601870187854,-0.31993948904017944,-5.669424530093137,-4.0528259707897245
BUCKET,3,5,581,4095.779473229285,4820.258372617474,39929.494529019656,7.049534377330955,8.296486011389801,68.72546390536945,-0.17688425466349145,-8.748936628547913,-7.2836834547807285
BUCKET,3,6,701,4759.370632108801,4724.62554335099,51996.66525338816,6.78940175764451,6.739836723753195,74.17498609613146,0.0073003536483177145,-9.925113690998522,-10.005457422242396
BUCKET,4,1,1637,38539.432253687744,36301.09273342004,76905.85647037376,23.542719764012062,22.17537735700674,46.979753494425026,0.058079203282853875,-0.9955108825718322,-1.1185548610103293
BUCKET,4,2,1036,15261.710761081478,18091.830733683386,42379.07001918483,14.73138104351494,17.46315707884497,40.9064382424564,-0.18543923528015793,-1.7768230365926394,-1.3424423234451028
BUCKET,4,3,894,9340.436912326233,15568.53092747321,42335.26231114284,10.44791600931346,17.41446412469039,47.35487954266537,-0.6667882962656693,-3.5324713081970014,-1.719284337640064
BUCKET,4,4,2194,20205.9244295129,34565.97742183713,116313.13806152612,9.209628272339517,15.754775488531054,53.01419237079586,-0.7106852766087677,-4.756387858782567,-2.364960193141972
BUCKET,4,5,425,3359.651478588179,5980.882853750967,27887.724232944587,7.905062302560421,14.072665538237569,65.61817466575197,-0.7802093139328559,-7.300778938136702,-3.6628106443272896
BUCKET,4,6,526,4098.402458973884,6283.000217896734,37375.29417670982,7.791639655843886,11.944867334404437,71.05569235115935,-0.5330364162112591,-8.119478760528429,-4.948638051968966
BUCKET,5,1,2812,63804.37554375831,68118.28071307803,102292.81523733307,22.69003397715445,24.22413965614439,36.37724581697478,-0.06761143154455218,-0.6032257092960438,-0.5016940264273857
BUCKET,5,2,1872,26489.00819981203,34910.72461353647,64439.989093978176,14.150111217848306,18.648891353384865,34.42307109721057,-0.31793249298719317,-1.43270675171732,-0.8458508039386805
BUCKET,5,3,1662,17571.12541087078,30987.072857827,68625.74988552443,10.572277623869303,18.644448169571,41.29106491307126,-0.7635223773803432,-2.9055978647257015,-1.2146573895633486
BUCKET,5,4,4138,38659.43461222572,73338.06114483217,186288.80995330476,9.342540988938067,17.723069392177905,45.01904542129163,-0.8970288075977095,-3.818715323229081,-1.5401381908012408
BUCKET,5,5,799,6114.945595222016,13510.47305404225,43210.97580668323,7.653248554720921,16.90922785236827,54.08132141011668,-1.2094183576381798,-6.066453026245504,-2.198331815165774
BUCKET,5,6,983,7896.822583019479,16658.097965909037,53309.30906579161,8.033390216703436,16.946183078239102,54.23124014831293,-1.1094684337633356,-5.750728980593094,-2.200203839291235
BUCKET,6,1,4916,86891.4291106413,100389.50730856674,106374.94592653238,17.675229680765113,20.42097382192163,21.63851625844841,-0.1553441845309962,-0.22422829288585144,-0.05962215353411615
BUCKET,6,2,3933,48342.08934405388,60721.10486850843,85057.21355951902,12.291403341991833,15.438877413808399,21.626548070053143,-0.2560711730176217,-0.7594856720850676,-0.4007850111375679
BUCKET,6,3,3605,34826.276110821826,49652.260019458925,94083.00133364706,9.6605481583417,13.77316505394145,26.09791992611569,-0.42571258154213365,-1.7014947287003204,-0.8948382469755767
BUCKET,6,4,9110,83038.71107684981,126345.22099094355,252623.01298354316,9.115116473858377,13.868849724582168,27.73029780280386,-0.5215219426276363,-2.042231866409249,-0.9994663114456164
BUCKET,6,5,1997,16327.358136264085,25280.737342219756,63876.565783461396,8.175942982605951,12.659357707671385,31.986262285158436,-0.5483666819354966,-2.912241358973289,-1.526689191014425
BUCKET,6,6,2393,20820.434945982182,33668.24869303526,73042.2009571934,8.7005578545684,14.069472918109177,30.52327662231233,-0.6170771062365525,-2.5081976503708296,-1.1694683802280212
BUCKET,7,1,1886,39926.53364956826,40911.385721808176,42133.946436672355,21.169954215041493,21.69214513351441,22.340374568755227,-0.024666605943903797,-0.05528686277848127,-0.029883141167043936
BUCKET,7,2,1953,26340.67355878345,27060.034121482342,32099.437620694407,13.487288048532232,13.855624230149688,16.4359639634892,-0.027309877292755136,-0.21862630236312497,-0.18623049315416051
BUCKET,7,3,1653,16950.710611880033,16363.709143490507,28758.805728649848,10.254513376817927,9.899400570774656,17.397946599304202,0.034629903243001636,-0.6966135749196274,-0.7574747556601564
BUCKET,7,4,3368,32545.948463566034,33315.52306805384,55779.618631528305,9.663286360916281,9.891782383626436,16.561644486795814,-0.023645788210760355,-0.7138728863278172,-0.6742831417530775
BUCKET,7,5,1258,12354.755490144851,12380.659846776862,23355.54067301649,9.820950310131042,9.841542008566663,18.565612617660168,-0.0020967113960834727,-0.8904089758511815,-0.8864536270331982
BUCKET,7,6,1171,12592.227795287004,13739.962160639108,19941.347154053692,10.753396921679764,11.733528745208462,17.029331472291794,-0.09114625179999325,-0.5836234444168253,-0.4513393065360618
TOTAL,TOTAL,TOTAL,86568,1038077.2040361154,1290071.445907454,2986501.477501062,11.99146571523098,14.90240557604951,34.498908112709806,-0.24275096388935968,-1.8769550722136459,-1.3149892100745753
